"","status_id","status_message","link_name","status_type","status_link","status_published","num_reactions","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","year","month","day","hour","minute"
"32","348156187501_10153764075362502","b'There are worse reasons to go to a game'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10153764075362502/?type=3'",2015-10-28 21:22:36,17301,655,4099,17301,0,0,0,0,0,2015,10,28,21,22
"33","348156187501_10153884919472502","b'Nailed it'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10153884919472502/?type=3'",2015-12-27 16:49:33,7338,276,4058,7338,0,0,0,0,0,2015,12,27,16,49
"34","348156187501_10153794994872502","b'Mizzou protestors are mad that the attacks in Paris are getting more attention than them http://trib.al/423Uu3Y'","b'Mizzou Protestors Are Upset That The Terrorist Attacks In Paris Are Getting More Attention Than Them'","link","b'http://trib.al/423Uu3Y'",2015-11-14 10:37:28,1362,780,3405,1362,0,0,0,0,0,2015,11,14,10,37
"35","348156187501_10153643428512502","b'Behind The Scenes Video Of El Pres At the Brady Hearings Yesterday'","b'Behind The Scenes Video Of El Pres At the Brady Hearings Yeste...'","video","b'https://www.facebook.com/barstoolsports/videos/10153643428512502/'",2015-09-01 10:28:24,3570,491,3172,3570,0,0,0,0,0,2015,9,1,10,28
"36","348156187501_10153799060882502","b'""From Paris with love"" is written on US Hellfire missiles aimed at ISIS strongholds in Syria http://trib.al/7xI8rRb'","b'""From Paris, With Love"" Written Across U.S. Hellfire Missiles Aimed At ISIS Strongholds In Syria'","link","b'http://trib.al/7xI8rRb'",2015-11-16 11:29:33,13326,203,3081,13326,0,0,0,0,0,2015,11,16,11,29
"37","348156187501_10153732533742502","b'Think Cubs fans are confident with Jake Arrieta on the mound tonight?  I think this sums it up'","b""Jake Arrieta: Now Youz Can't Leave""","video","b'https://www.facebook.com/barstoolsports/videos/10153732533742502/'",2015-10-12 12:27:58,1330,353,3062,1330,0,0,0,0,0,2015,10,12,12,27
"38","348156187501_10153666736927502","b'How about this rainbow leading right to the World Trade Center the day before the 9/11 anniversary #NeverForget'","b'Mobile Uploads'","photo","b'https://www.facebook.com/barstoolsports/photos/a.10152315290087502.1073741826.348156187501/10153666736927502/?type=3'",2015-09-10 15:45:11,8436,64,2905,8436,0,0,0,0,0,2015,9,10,15,45
"39","348156187501_10153724873187502","b'You can cancel Halloween because this house already won.   #BurnGoodell'","b""Photos from Barstool Sports's post""","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10153724870572502/?type=3'",2015-10-08 14:20:16,4712,221,2619,4712,0,0,0,0,0,2015,10,8,14,20
"40","348156187501_10153097673782502","b'According to NFL ball boys, the reason for #Deflategate is the NFL not properly testing balls http://trib.al/SDZByJf'","b'The Plot Thickens: The Reason The NFL Is Remaining Silent Is Because The Refs Never Properly Tested The Footballs In the First Place (According to NFL Ball Boys)'","link","b'http://trib.al/SDZByJf'",2015-01-23 13:12:38,1178,111,2529,1178,0,0,0,0,0,2015,1,23,13,12
"41","348156187501_10152400821332502","b'Boston Fire Department sends a message to BMW driver who parked in front of Fire Hydrant http://ow.ly/vE41g'","b'> Boston Fire Department Sends A Message To BMW Driver Who Parked In...'","link","b'http://ow.ly/vE41g'",2014-04-10 09:39:31,3693,164,1375,3693,0,0,0,0,0,2014,4,10,9,39
"42","348156187501_10152095571929440","","b'> Incredible Picture Of Firefighters At Logan Last Night'","link","b'http://boston.barstoolsports.com/around-barstool/incredible-picture-of-firefighters-at-logan-last-night/'",2014-03-28 09:21:42,1244,13,842,1244,0,0,0,0,0,2014,3,28,9,21
